edition,host,goals,matches,goals_per_match,source_url
2010,South Africa,145,64,2.265625,https://www.plus.fifa.com/en/showcase/2010-fifa-world-cup-south-africatm/bcf63090-5411-4be4-ab83-4e349760778a
2014,Brazil,171,64,2.671875,https://inside.fifa.com/tournaments/mens/worldcup/2014brazil/news/germans-reign-as-brazil-thrills-the-world-2404806
2018,Russia,169,64,2.640625,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/pavard-s-stunner-voted-hyundai-goal-of-the-tournament
2022,Qatar,172,64,2.6875,https://publications.fifa.com/en/annual-report-2022/2022-at-a-glance/fifa-world-cup-qatar-2022-summary/
